Species	Chemical Name	Freq-GHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-GHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	Linelist
CH3OHvt=0-2	Methanol	330.35551200	1.3E-5			20(3,17)-19(4,16)A,vt=0	-4.07290		362.23920	CDMS
CH3OHvt=0-2	Methanol	330.79388700	1.3E-5			8(3,5)-9(2,7)E,vt=0	-3.96690		90.63220	CDMS
CH3OHvt=0-2	Methanol	331.07171100	3.0E-5			12(-3,9)-11(-5,7)E,vt=1	-7.70190		404.47500	CDMS
CH3OHvt=0-2	Methanol	331.22037100	1.1E-5			16(1,16)-15(2,13)E,vt=0	-3.94400		211.80050	CDMS
CH3OHvt=0-2	Methanol	331.50231900	1.1E-5			11(1,10)-11(0,11)A,vt=0	-3.00660		106.40870	CDMS
CH3OHvt=0-2	Methanol	331.93047800	0.000483			13(7,6)-12(8,4),vt=1	0.00000		539.14400	CDMS
CH3OHvt=0-2	Methanol	331.93061600	2.5E-5			13(-7,6)-12(-8,5)E,vt=1	-5.44260		539.14360	CDMS
CH3OHvt=0-2	Methanol	332.50543200	1.5E-5			15(-1,14)-15(1,15)E,vt=0	-7.05460		197.13480	CDMS
CH3OHvt=0-2	Methanol	332.67970500	6.5E-5			4(0,4)-5(3,3)A,vt=1	-8.90020		299.45000	CDMS
CH3OHvt=0-2	Methanol	332.92082200	1.8E-5			7(3,4)-8(1,7)A,vt=0	-9.54790		68.68030	CDMS
CH3OHvt=0-2	Methanol	332.99656300	1.8E-5			22(2,20)-21(3,18)E,vt=0	-4.15480		415.98050	CDMS
CH3OHvt=0-2	Methanol	333.86472200	1.4E-5			9(-1,8)-8(2,6)E,vt=0	-5.71840		76.10210	CDMS
CH3OHvt=0-2	Methanol	334.42657100	8.0E-6			3(-0,3)-2(-1,2)E,vt=1	-4.58710		207.41310	CDMS
CH3OHvt=0-2	Methanol			334.42659000	5.0E-5	3(0,3)-2(1,2),vt=1	0.00000	 6.5	207.41300	CDMS
CH3OHvt=0-2	Methanol	334.97060900	1.2E-5			11(-0,11)-10(-2,9)E,vt=0	-7.05090		104.23580	CDMS
CH3OHvt=0-2	Methanol	335.12172200	1.4E-5			3(-2,2)-2(-0,2)E,vt=0	-8.57780		13.96280	CDMS
CH3OHvt=0-2	Methanol	335.13357000	1.3E-5			2(2,1)-3(1,2)A,vt=0	-4.65810		19.87010	CDMS
CH3OHvt=0-2	Methanol	335.22202200	1.6E-5			16(-1,15)-16(1,16)E,vt=0	-7.10720		222.84880	CDMS
CH3OHvt=0-2	Methanol	335.36256500	1.7E-5			7(-3,5)-8(-0,8)E,vt=0	-6.76350		67.15030	CDMS
CH3OHvt=0-2	Methanol	335.58201700	5.0E-6			7(1,7)-6(1,6)A,vt=0	-3.44990		43.69400	CDMS
CH3OHvt=0-2	Methanol	335.60395700	1.5E-5			10(3,7)-11(-1,10)E,vt=0	-9.46320		121.11930	CDMS
CH3OHvt=0-2	Methanol	335.88372300	2.1E-5			24(-0,24)-23(-3,21)E,vt=0	-5.80070		478.48170	CDMS
CH3OHvt=0-2	Methanol	336.43822400	1.6E-5			14(7,7)-15(6,9)A,vt=0	-4.41050		328.10780	CDMS
CH3OHvt=0-2	Methanol	336.43822400	1.6E-5			14(7,8)-15(6,10)A,vt=0	-4.41050		328.10780	CDMS
CH3OHvt=0-2	Methanol	336.60588900	1.3E-5			7(1,7)-6(1,6)A,vt=2	-4.41670		508.24730	CDMS
CH3OHvt=0-2	Methanol	336.86514900	1.2E-5			12(1,11)-12(0,12)A,vt=0	-3.00230		125.73740	CDMS
CH3OHvt=0-2	Methanol	337.13585300	1.4E-5			3(-3,1)-4(-2,3)E,vt=0	-4.77060		31.59610	CDMS
CH3OHvt=0-2	Methanol	337.15915800	1.1E-5			7(-6,2)-6(-6,1)E,vt=2	-4.99570		518.98670	CDMS
CH3OHvt=0-2	Methanol	337.18648800	1.1E-5			7(-0,7)-6(-0,6)E,vt=2	-4.47970		544.06550	CDMS
CH3OHvt=0-2	Methanol	337.19848800	9.0E-6			7(5,3)-6(5,2)E,vt=2	-4.64210		473.94110	CDMS
CH3OHvt=0-2	Methanol	337.25217200	8.0E-6			7(3,5)-6(3,4)A,vt=2	-4.45280		491.15020	CDMS
CH3OHvt=0-2	Methanol	337.25217300	8.0E-6			7(3,4)-6(3,3)A,vt=2	-4.45280		491.15020	CDMS
CH3OHvt=0-2	Methanol	337.27356100	8.0E-6			7(4,3)-6(4,2)A,vt=2	-4.48020		460.85350	CDMS
CH3OHvt=0-2	Methanol	337.27356100	8.0E-6			7(4,4)-6(4,3)A,vt=2	-4.48020		460.85350	CDMS
CH3OHvt=0-2	Methanol	337.27918000	9.0E-6			7(2,5)-6(2,4)E,vt=2	-4.38910		482.01300	CDMS
CH3OHvt=0-2	Methanol	337.28432000	1.2E-5			7(0,7)-6(0,6)A,vt=2	-4.15210		386.97310	CDMS
CH3OHvt=0-2	Methanol	337.29591300	8.0E-6			7(-3,5)-6(-3,4)E,vt=2	-4.40640		465.67850	CDMS
CH3OHvt=0-2	Methanol			337.29743900	5.0E-5	7(1,7)-6(1,6)++,vt=1	0.00000	 7.1	259.82500	CDMS
CH3OHvt=0-2	Methanol	337.29748400	6.0E-6			7(1,7)-6(1,6)A,vt=1	-3.89500		259.82470	CDMS
CH3OHvt=0-2	Methanol	337.30264400	8.0E-6			7(-2,6)-6(-2,5)E,vt=2	-4.30010		441.21130	CDMS
CH3OHvt=0-2	Methanol	337.31236000	1.0E-5			7(1,7)-6(1,6)E,vt=2	-4.19480		403.53700	CDMS
CH3OHvt=0-2	Methanol			337.46367100	5.0E-5	7(6,1)-6(6,0)++,vt=1	0.00000	 4.0	359.21000	CDMS
CH3OHvt=0-2	Methanol			337.46367100	5.0E-5	7(6,1)-6(6,0)++,vt=1	0.00000	 4.0	359.21000	CDMS
CH3OHvt=0-2	Methanol	337.46370300	6.0E-6			7(6,1)-6(6,0)A,vt=1	-4.66650		359.21010	CDMS
CH3OHvt=0-2	Methanol	337.46370300	6.0E-6			7(6,2)-6(6,1)A,vt=1	-4.66650		359.21010	CDMS
CH3OHvt=0-2	Methanol			337.49052300	5.0E-5	7(-6,2)-6(-6,1),vt=1	0.00000	 1.6	376.74300	CDMS
CH3OHvt=0-2	Methanol	337.49056200	6.0E-6			7(6,2)-6(6,1)E,vt=1	-4.71480		376.74270	CDMS
CH3OHvt=0-2	Methanol			337.51906700	5.0E-5	7(3,5)-6(3,4),vt=1	0.00000	 5.8	323.90700	CDMS
CH3OHvt=0-2	Methanol	337.51913800	6.0E-6			7(-3,4)-6(-3,3)E,vt=1	-4.10610		323.90650	CDMS
CH3OHvt=0-2	Methanol	337.52753900	1.8E-5			17(3,14)-18(1,18)E,vt=0	-8.30800		279.05620	CDMS
CH3OHvt=0-2	Methanol			337.54604800	5.0E-5	7(5,3)-6(5,2)++,vt=1	0.00000	  b	326.08600	CDMS
CH3OHvt=0-2	Methanol			337.54604800	5.0E-5	7(5,3)-6(5,2)++,vt=1	0.00000	  b	326.08600	CDMS
CH3OHvt=0-2	Methanol	337.54611600	6.0E-6			7(5,2)-6(5,1)A,vt=1	-4.33830		326.08590	CDMS
CH3OHvt=0-2	Methanol	337.54611600	6.0E-6			7(5,3)-6(5,2)A,vt=1	-4.33830		326.08590	CDMS
CH3OHvt=0-2	Methanol			337.58166300	5.0E-5	7(4,4)-6(4,3),vt=1	0.00000	 3.5	286.35400	CDMS
CH3OHvt=0-2	Methanol	337.58168000	6.0E-6			7(-4,4)-6(-4,3)E,vt=1	-4.11550		286.35400	CDMS
CH3OHvt=0-2	Methanol			337.60525500	5.0E-5	7(-2,5)-6(-2,4),vt=1	0.00000	 5.5	287.20900	CDMS
